Abacate, Frutas
Abobrinha, Legumes
Abóbora jacaré, Legumes
Abóbora leite, Legumes
Abóbora menina, Legumes
Abóbora moranga, Legumes
Acelga, Verduras
Acerola, Frutas
Alecrim, Plantas/Ervas Medicinais
Alface americana, Verduras
Alface crespa, Verduras
Alface lisa, Verduras
Alface roxa, Verduras
Alho poró, Verduras
Aspargo, Verduras
Azeitona roxa, Frutas
Açafrão, Plantas/Ervas Medicinais
Açaí, Frutas
Banana comprida, Frutas
Banana maçã, Frutas
Banana nanica, Frutas
Banana prata, Frutas
Banana pão, Frutas
Batata doce branca, Raízes
Batata doce roxa, Raízes
Berinjela preta, Legumes
Bertalha, Verduras
Beterraba, Legumes
Cacau, Frutas
Caju, Frutas
Cajá, Frutas
Cana caiana, Frutas
Capim santo, Plantas/Ervas Medicinais
Cará são tomé, Raízes
Carambola, Frutas
Cará lambu, Raízes
Cará moela, Raízes
Cebola branca, Legumes
Cebola em conserva, Produtos Beneficiados
Cebola roxa, Legumes
Cebolinha, Verduras
Cenoura, Legumes
Chip de banana, Produtos Beneficiados
Chip de batata, Produtos Beneficiados
Chip de macaxeira, Produtos Beneficiados
Chuchu, Legumes
Cidreira, Plantas/Ervas Medicinais
Cocada, Produtos Beneficiados
Coco seco, Frutas
Coco verde, Frutas
Coentro, Verduras
Colônia, Plantas/Ervas Medicinais
Couve brócolis, Verduras
Couve flor, Verduras
Couve folha, Verduras
Cupuaçu, Frutas
Cúrcuma, Raízes
Doce de banana, Produtos Beneficiados
Doce de caju, Produtos Beneficiados
Doce de jaca, Produtos Beneficiados
Doce de mamão, Produtos Beneficiados
Erva doce, Plantas/Ervas Medicinais
Espinafre, Verduras
Farinha, Produtos Beneficiados
Fava diversas, Legumes
Feijão de aranca, Legumes
Feijão de corda, Legumes
Feijão guandu, Legumes
Feijão vagem, Legumes
Gengibre, Raízes
Goiaba, Frutas
Hortelã, Plantas/Ervas Medicinais
Inga de metro, Frutas
Inhame da costa, Raízes
Jaboticaba, Frutas
Jaca dura, Frutas
Jaca mole, Frutas
Jambo roxo, Frutas
Jenipapo, Frutas
Laranja bahia, Frutas
Laranja comum, Frutas
Laranja cravo, Frutas
Limão, Frutas
Limão galego, Frutas
Limão siciliano, Frutas
Limão tarte, Frutas
Limão zamboa, Frutas
Macaxeira, Raízes
Mamão formosa, Frutas
Mamão papaya, Frutas
Manga espada, Frutas
Manga rosa, Frutas
Manjericão roxo, Plantas/Ervas Medicinais
Manjericão verde, Plantas/Ervas Medicinais
Maracujá, Frutas
Massa de mandioca, Produtos Beneficiados
Maxixe, Legumes
Mel africanizado, Mel
Mel de uruçu, Mel
Melancia, Frutas
Melão de são caetano, Plantas/Ervas Medicinais
Milho, Grão
Ora pro nobis, Plantas/Ervas Medicinais
Orégano, Plantas/Ervas Medicinais
Pepino caipira, Legumes
Pepino de conserva
Pepino japonês, Legumes
Pepino sempre verde, Frutas
Pimenta bode vermelha, Legumes
Pimenta cambuci, Legumes
Pimenta cumari, Legumes
Pimenta de cheiro, Legumes
Pimenta dedo de moça, Legumes
Pimenta habanero, Legumes
Pimenta malagueta, Legumes
Pimentão amarelo, Legumes
Pimentão verde, Legumes
Pimentão vermelho, Legumes
Pitanga, Frutas
Pitomba, Frutas
Polpa de abraçar, Polpa de Frutas
Polpa de acerola, Polpa de Frutas
Polpa de caja, Polpa de Frutas
Polpa de goiaba, Polpa de Frutas
Polpa de graviola, Polpa de Frutas
Polpa de tamarindo, Polpa de Frutas
Quiabo, Legumes
Rabanete, Legumes
Repolho roxo, Verduras
Repolho verde, Verduras
Rúcula, Verduras
Sabugueiro, Plantas/Ervas Medicinais
Salsa, Verduras
Salsão, Verduras
Saputi, Frutas
Seriguela, Frutas
Sálvia, Plantas/Ervas Medicinais
Taioba, Plantas/Ervas Medicinais
Tamarindo, Frutas
Tomate, Legumes
Tomate cereja, Legumes
Urucum, Plantas/Ervas Medicinais
Uva isabel, Frutas
Xambá, Plantas/Ervas Medicinais
